Sexe;age;Chaussures;sacados;feder;anios_pract;numer_3000;boussole/GPS;Radio/Tel;TrousSecours;id_proc;Origine
H;28;4;1;1;4;3;1;1;1;PV;Espagne
H;28;3;1;1;4;2;1;1;0;LR;Espagne
H;28;2;1;1;4;4;1;1;0;LR;Espagne
H;28;4;1;0;4;3;1;1;0;CL;Espagne
M;28;3;1;0;4;7;0;1;1;VC;Espagne
H;28;4;1;1;4;25;1;1;1;CT;Espagne
H;28;4;1;1;4;15;0;1;1;PV;Espagne
H;33;3;1;1;9;15;0;1;1;MU;Espagne
M;33;3;1;1;9;15;0;1;1;MU;Espagne
H;28;3;1;1;4;6;1;1;1;CT;Espagne
H;28;4;1;1;4;12;1;1;0;PV;Espagne
H;28;3;1;0;4;3;1;0;1;CT;Espagne
H;33;3;1;1;9;20;1;1;1;PV;Espagne
H;28;3;1;0;3;3;1;1;1;CT;Espagne
H;28;3;1;0;3;3;1;1;1;VC;Espagne
H;33;4;1;1;8;13;0;0;1;CT;Espagne
M;28;3;1;0;3;1;1;0;1;BEL;Autre pays
H;28;3;1;1;3;6;1;1;1;VC;Espagne
M;33;3;1;0;8;2;0;1;1;M;Espagne
H;33;3;1;1;8;12;1;1;1;CT;Espagne
H;28;3;1;0;3;1;1;1;1;PV;Espagne
H;28;3;1;0;3;1;1;1;1;CL;Espagne
H;33;3;1;0;8;10;1;1;1;FRA;France
H;43;3;1;1;18;40;1;1;1;PV;Espagne
H;28;3;1;1;3;5;1;1;0;PV;Espagne
H;28;3;1;1;3;5;1;1;0;PV;Espagne
H;33;3;1;1;8;15;0;1;1;AR;Espagne
M;28;3;1;1;3;2;1;1;1;AR;Espagne
H;38;3;1;0;13;2;0;1;1;PV;Espagne
H;28;4;1;1;3;1;0;1;0;PV;Espagne
M;28;3;1;1;3;4;1;1;1;FRA;France
M;28;3;1;0;3;40;1;1;1;IRL;Autre pays
M;38;4;0;1;13;10;1;0;1;M;Espagne
H;33;4;1;1;8;15;1;0;1;VC;Espagne
H;33;3;1;1;8;8;0;1;1;VC;Espagne
H;33;3;1;1;8;8;0;1;1;VC;Espagne
H;33;4;1;1;8;50;0;1;1;CT;Espagne
H;33;3;1;1;8;5;1;1;1;AS;Espagne
H;28;3;1;0;3;1;1;0;1;PV;Espagne
M;28;3;1;0;3;1;1;0;1;PV;Espagne
H;33;3;1;1;8;5;1;1;0;CT;Espagne
H;33;3;1;NC;8;13;0;0;1;CT;Espagne
H;28;2;1;1;3;20;1;1;1;DEU;Autre pays
M;28;4;1;0;3;15;1;1;1;FRA;France
M;48;3;0;0;23;3;1;1;0;M;Espagne
H;38;3;1;1;12;4;1;0;1;CT;Espagne
H;38;3;0;0;12;5;1;0;1;CT;Espagne
H;38;4;0;0;12;5;1;0;1;CT;Espagne
H;33;3;1;0;7;5;1;0;1;CT;Espagne
M;33;3;1;0;7;3;1;0;1;CT;Espagne
H;33;3;1;0;7;10;0;1;1;CT;Espagne
H;33;4;1;0;7;10;0;1;1;CT;Espagne
H;33;4;1;0;7;10;0;1;1;CT;Espagne
H;33;4;1;NC;7;3;1;0;0;M;Espagne
H;38;4;1;0;12;10;1;1;1;FRA;France
H;28;4;1;1;2;2;1;1;1;NA;Espagne
H;33;3;1;0;7;9;1;1;1;M;Espagne
M;33;3;0;0;7;9;1;1;1;M;Espagne
H;28;4;1;1;2;1;1;1;1;VC;Espagne
H;38;3;1;1;12;3;1;1;1;M;Espagne
H;38;3;1;1;12;5;1;1;1;M;Espagne
H;28;4;1;0;2;5;1;1;1;CT;Espagne
H;28;3;1;1;2;7;1;1;1;PV;Espagne
H;28;3;1;0;2;3;1;1;1;M;Espagne
M;28;3;1;0;2;3;1;1;1;M;Espagne
H;58;3;1;1;32;5;1;1;1;AS;Espagne
H;28;3;1;1;2;65;1;1;1;CT;Espagne
H;28;3;1;0;2;2;1;1;0;GA;Espagne
M;33;3;1;0;7;2;0;1;0;PV;Espagne
H;33;3;1;0;7;5;1;1;1;NA;Espagne
H;33;3;1;1;7;20;1;1;1;PV;Espagne
H;28;3;1;0;1;10;1;1;1;CT;Espagne
M;28;3;1;0;1;1;0;1;1;CT;Espagne
H;28;3;1;0;1;1;1;1;1;AR;Espagne
H;33;4;0;1;6;6;0;1;1;PV;Espagne
M;33;3;NC;NC;6;5;1;1;0;CT;Espagne
M;28;4;1;1;1;4;1;1;1;CT;Espagne
M;28;4;1;1;1;2;1;1;1;CT;Espagne
H;28;4;1;0;1;4;0;1;0;AR;Espagne
H;28;3;1;0;1;1;1;1;1;FRA;France
H;33;4;1;NC;6;3;1;0;0;M;Espagne
H;28;2;1;1;1;1;1;1;1;CT;Espagne
H;28;4;1;1;1;25;1;1;1;NA;Espagne
M;28;3;1;0;1;1;1;1;1;PV;Espagne
H;33;3;1;1;6;10;0;0;1;PV;Espagne
H;33;4;1;0;6;4;1;1;1;CT;Espagne
H;33;3;1;1;6;4;1;1;0;CT;Espagne
H;28;4;1;0;1;2;1;1;0;CL;Espagne
H;33;3;1;0;6;4;1;1;0;CT;Espagne
H;28;4;1;1;1;4;1;1;1;FRA;France
M;28;4;0;0;1;1;0;1;1;CT;Espagne
H;43;3;1;1;16;10;1;1;0;M;Espagne
M;33;3;0;0;5;1;0;1;1;M;Espagne
H;33;3;1;0;5;1;0;1;1;M;Espagne
H;38;3;1;0;10;4;1;1;1;AR;Espagne
H;38;3;1;1;10;1;1;1;1;AR;Espagne
M;38;3;1;0;10;1;1;1;1;PV;Espagne
M;38;3;0;0;10;5;1;0;1;CT;Espagne
H;48;3;1;0;20;4;1;0;1;PV;Espagne
H;48;4;1;0;20;4;1;0;1;PV;Espagne
H;28;3;1;0;0;1;1;1;1;CT;Espagne
H;43;3;1;0;15;6;0;0;0;CT;Espagne
H;38;4;1;0;10;3;1;1;1;NA;Espagne
H;38;4;1;1;10;5;1;0;1;AR;Espagne
H;33;4;1;NC;5;3;0;0;1;M;Espagne
H;33;4;1;NC;5;4;0;0;1;M;Espagne
H;33;4;1;0;5;8;0;1;1;M;Espagne
H;33;3;1;0;5;8;0;1;1;M;Espagne
H;33;3;1;0;5;8;0;1;1;M;Espagne
H;38;4;1;1;10;20;1;1;1;M;Espagne
M;38;4;1;0;10;10;1;1;1;FRA;France
H;33;4;1;1;5;5;1;1;1;CT;Espagne
H;33;3;1;0;5;9;0;0;0;FRA;France
H;38;4;1;0;10;1;1;0;1;PV;Espagne
H;33;3;1;0;5;2;0;0;1;VC;Espagne
H;33;3;1;0;5;2;0;0;1;VC;Espagne
M;28;3;1;0;0;1;1;1;1;CT;Espagne
H;38;4;1;1;10;10;1;1;1;NA;Espagne
H;48;4;1;1;20;30;1;1;1;NA;Espagne
H;28;3;1;0;0;1;1;1;1;M;Espagne
H;28;3;1;0;0;1;1;1;1;M;Espagne
H;28;4;1;0;0;1;1;1;1;M;Espagne
H;28;3;1;0;0;1;1;1;1;M;Espagne
H;28;3;1;0;0;1;1;1;1;M;Espagne
H;28;3;1;0;0;1;1;1;1;AND;Autre pays
H;48;3;1;1;20;20;0;1;0;CM;Espagne
H;38;3;1;0;10;2;1;1;1;CT;Espagne
M;33;3;1;0;5;1;1;1;1;CT;Espagne
M;28;3;1;0;0;1;1;1;1;DEU;Autre pays
H;28;3;1;1;NC;30;1;0;0;CT;Espagne
H;38;4;1;0;10;10;1;1;1;VC;Espagne
M;38;3;1;0;10;2;1;1;1;CL;Espagne
M;33;3;1;1;5;15;1;1;1;FRA;France
H;33;3;1;1;5;5;1;1;0;PV;Espagne
M;48;3;1;0;20;6;1;1;1;CL;Espagne
H;38;3;1;0;10;10;1;1;1;FRA;France
M;53;3;1;0;25;30;1;1;1;FRA;France
H;43;3;1;1;15;40;0;1;1;VC;Espagne
H;48;4;1;0;20;100;0;1;1;FRA;France
H;48;4;1;0;20;100;0;1;1;FRA;France
H;33;4;1;1;5;4;1;1;0;PV;Espagne
H;68;4;1;1;40;30;1;0;0;NA;Espagne
H;33;4;1;0;5;5;1;1;0;AR;Espagne
M;43;4;1;1;15;15;1;1;1;AR;Espagne
H;53;3;1;0;25;3;0;1;0;M;Espagne
H;33;3;1;1;5;5;1;0;1;PV;Espagne
H;58;3;1;1;30;20;0;1;1;CT;Espagne
M;58;3;1;1;30;20;0;1;1;CT;Espagne
H;28;3;1;NC;NC;0;NC;NC;NC;NSNC;Autre pays
M;33;3;1;1;5;5;1;1;1;FRA;France
H;58;3;1;1;30;10;0;1;1;DEU;Autre pays
M;38;3;0;0;10;2;0;1;0;M;Espagne
H;38;3;1;0;10;3;0;1;0;M;Espagne
H;38;4;1;0;10;6;1;1;1;VC;Espagne
H;53;3;1;1;25;40;1;1;0;CT;Espagne
M;43;3;1;1;15;3;1;1;1;AS;Espagne
H;38;4;1;1;10;1;0;1;1;PV;Espagne
H;43;4;1;0;15;15;0;1;1;CT;Espagne
H;53;3;1;0;25;4;0;1;1;AND;Autre pays
H;48;3;1;1;20;4;1;1;1;FRA;France
H;48;3;1;1;20;3;1;1;1;FRA;France
H;43;3;1;1;15;5;1;1;1;FRA;France
M;43;4;1;1;15;6;0;1;1;M;Espagne
M;53;3;1;1;25;4;1;1;1;AS;Espagne
H;43;4;1;1;15;10;0;1;1;LR;Espagne
H;43;4;1;1;15;6;1;1;1;PV;Espagne
H;48;3;1;1;20;10;1;1;1;CN;Espagne
H;28;3;1;0;0;2;1;1;1;CT;Espagne
M;28;3;0;0;0;2;1;1;1;CT;Espagne
H;58;4;1;1;30;15;1;0;1;JPN;Autre pays
H;58;4;1;0;30;15;1;0;1;JPN;Autre pays
M;58;4;1;1;30;15;1;0;1;JPN;Autre pays
M;58;4;1;0;30;15;1;0;1;JPN;Autre pays
H;68;3;1;1;40;300;1;1;1;DEU;Autre pays
M;68;3;1;1;40;300;1;1;1;DEU;Autre pays
M;48;3;1;1;20;50;1;1;1;DEU;Autre pays
M;48;3;1;1;20;50;1;1;1;DEU;Autre pays
H;48;3;1;1;20;50;1;1;1;DEU;Autre pays
H;48;3;1;1;20;50;1;1;1;DEU;Autre pays
H;48;3;1;1;20;50;1;1;1;DEU;Autre pays
H;48;3;1;1;20;50;1;1;1;DEU;Autre pays
H;33;4;1;1;4;6;1;1;1;AR;Espagne
H;33;3;1;0;4;2;1;1;1;CL;Espagne
M;43;3;1;0;14;4;1;0;1;PV;Espagne
H;33;4;1;1;4;7;1;0;1;CB;Espagne
H;33;4;1;0;4;12;1;1;1;EX;Espagne
H;33;4;1;0;4;13;1;1;1;EX;Espagne
H;33;3;1;0;4;2;1;1;1;CT;Espagne
H;33;3;1;0;4;7;0;1;0;CT;Espagne
H;33;4;1;1;4;22;1;1;1;CT;Espagne
M;53;3;1;0;24;55;0;1;0;AR;Espagne
M;33;4;1;1;4;8;1;1;0;PV;Espagne
H;43;3;1;0;14;10;1;1;0;CM;Espagne
H;33;3;1;1;4;5;1;1;0;NA;Espagne
H;33;4;1;1;4;1;1;1;1;M;Espagne
M;33;4;1;1;4;0;1;1;1;M;Espagne
M;43;3;1;1;14;25;1;1;1;M;Espagne
H;33;4;1;1;3;10;1;1;1;AR;Espagne
H;38;4;1;1;8;7;1;1;1;NA;Espagne
H;38;4;1;0;8;10;0;1;1;CT;Espagne
H;33;3;1;0;3;3;0;1;1;CT;Espagne
H;33;3;1;0;3;1;1;0;1;AR;Espagne
H;33;4;1;0;3;1;1;1;1;CT;Espagne
H;33;4;1;1;3;11;1;1;1;CT;Espagne
H;33;3;1;0;3;4;1;1;1;VC;Espagne
H;33;2;0;1;3;5;1;1;0;PV;Espagne
H;33;3;1;0;3;5;1;1;1;CT;Espagne
M;38;3;1;0;8;3;0;1;1;AND;Autre pays
H;38;3;1;1;8;8;0;1;1;VC;Espagne
H;38;3;1;1;8;8;0;1;1;VC;Espagne
H;33;3;1;0;3;2;1;1;0;PRT;Autre pays
H;38;3;1;1;8;3;1;0;1;CL;Espagne
H;38;3;1;1;8;3;1;0;1;CL;Espagne
H;33;3;1;0;3;20;1;1;1;CT;Espagne
H;33;3;1;0;3;15;1;1;1;FRA;France
M;33;3;1;0;2;1;0;1;1;M;Espagne
H;38;4;1;1;7;12;0;0;0;VC;Espagne
H;33;3;1;0;2;2;0;0;0;CT;Espagne
M;38;3;1;1;7;40;1;1;0;CT;Espagne
M;33;3;1;0;2;1;1;1;1;CT;Espagne
H;43;4;1;0;12;12;1;1;1;DEU;Autre pays
M;33;3;1;0;2;1;1;1;1;CL;Espagne
H;33;3;0;0;2;1;1;1;1;CL;Espagne
M;33;4;1;0;2;3;1;1;1;CT;Espagne
H;33;4;1;0;2;1;1;1;1;CT;Espagne
H;33;3;1;1;2;4;1;1;1;PV;Espagne
H;33;3;1;0;2;4;1;1;1;CT;Espagne
H;33;4;1;1;2;4;1;1;1;FRA;France
H;33;4;1;1;2;15;1;1;1;AR;Espagne
M;33;3;1;1;2;2;1;1;1;AS;Espagne
H;38;4;1;1;7;10;1;1;1;FRA;France
H;38;4;1;1;7;10;1;1;1;FRA;France
M;33;3;0;0;2;1;1;1;1;M;Espagne
H;33;3;1;1;2;3;1;1;0;PV;Espagne
H;33;3;1;0;2;7;1;1;1;CT;Espagne
M;33;3;0;0;1;1;0;1;1;M;Espagne
H;48;3;1;1;16;48;1;1;1;NA;Espagne
H;38;4;1;NC;6;3;1;0;0;M;Espagne
M;33;2;1;1;1;1;0;1;1;CT;Espagne
H;33;3;1;1;1;2;1;1;1;CT;Espagne
M;38;3;1;1;6;10;0;0;1;PV;Espagne
H;33;4;1;0;1;2;0;1;1;VC;Espagne
H;38;4;1;1;6;25;1;1;1;CT;Espagne
M;33;3;1;1;1;5;1;1;0;MU;Espagne
H;33;3;1;0;0;3;1;0;1;CT;Espagne
H;58;3;1;1;25;10;1;1;1;PV;Espagne
M;33;3;1;NC;0;1;1;1;1;CT;Espagne
H;38;4;1;NC;5;6;1;0;0;M;Espagne
M;38;3;1;NC;5;4;1;0;0;M;Espagne
H;53;4;1;0;20;100;1;1;0;FRA;France
H;48;2;1;1;15;60;0;1;1;CT;Espagne
M;48;2;1;1;15;60;0;1;1;CT;Espagne
H;33;3;1;0;0;3;1;1;0;CT;Espagne
H;38;3;1;0;5;1;1;1;1;AR;Espagne
H;38;4;1;1;5;2;0;1;1;VC;Espagne
M;53;3;0;0;20;6;0;1;1;CT;Espagne
H;48;4;1;1;15;40;1;0;1;FRA;France
H;38;4;1;0;5;10;1;1;0;PV;Espagne
H;48;4;1;1;15;15;1;1;1;AR;Espagne
H;53;3;1;1;20;20;1;0;1;FRA;France
M;53;3;1;1;20;20;1;0;1;FRA;France
H;43;3;1;0;10;5;0;1;1;DEU;Autre pays
M;33;3;1;0;NC;6;1;1;0;CL;Espagne
H;33;3;1;0;NC;6;1;1;0;CL;Espagne
H;33;4;1;0;NC;6;1;1;0;CL;Espagne
H;33;4;1;0;NC;1;1;1;0;CL;Espagne
H;33;4;1;0;NC;1;1;1;0;CL;Espagne
H;63;3;1;0;30;7;1;1;1;VC;Espagne
H;43;3;1;0;10;2;0;1;1;AR;Espagne
H;48;4;1;1;15;40;1;1;1;FRA;France
H;43;3;1;0;10;9;1;0;1;FRA;France
H;43;3;1;0;10;9;1;0;1;FRA;France
H;48;3;1;0;15;10;1;0;1;FRA;France
H;43;4;1;1;10;50;0;1;1;CT;Espagne
H;43;3;1;1;10;10;0;1;0;CT;Espagne
M;43;3;1;1;10;4;0;1;0;CT;Espagne
H;58;3;1;0;25;200;0;1;0;AR;Espagne
H;38;3;1;1;5;3;1;1;1;AS;Espagne
M;58;3;1;1;25;1;1;1;1;AS;Espagne
H;33;3;1;0;0;2;0;1;1;AND;Autre pays
H;43;4;1;0;10;10;1;0;1;CT;Espagne
H;48;3;1;1;15;15;1;1;1;FRA;France
M;43;4;1;1;10;10;1;1;1;FRA;France
M;43;3;1;1;10;15;1;1;1;FRA;France
H;43;3;1;1;10;15;1;1;1;FRA;France
H;48;4;1;1;15;5;1;1;1;FRA;France
M;43;3;1;1;10;5;1;1;1;FRA;France
H;43;4;1;1;10;4;1;1;1;PV;Espagne
M;38;3;0;1;5;6;1;1;1;CM;Espagne
H;43;3;1;1;10;6;1;1;1;M;Espagne
H;43;3;1;1;10;6;1;1;1;M;Espagne
H;63;3;1;0;30;15;1;0;1;FRA;France
H;63;4;1;0;30;10;1;0;1;FRA;France
H;58;3;1;0;25;6;1;0;1;FRA;France
H;58;4;1;1;25;100;1;0;1;FRA;France
H;53;3;1;0;20;40;1;1;1;AR;Espagne
H;38;4;1;1;4;25;0;0;1;CT;Espagne
H;38;4;1;1;4;2;0;1;1;VC;Espagne
H;38;4;1;0;4;3;1;1;0;M;Espagne
M;38;3;1;0;4;7;0;1;0;CT;Espagne
H;38;3;1;0;4;3;1;1;1;FRA;France
H;38;3;1;1;4;10;1;1;1;FRA;France
M;38;3;1;0;4;3;1;1;0;CT;Espagne
H;38;3;1;0;4;1;1;1;1;CM;Espagne
H;38;3;0;0;4;1;1;1;1;CM;Espagne
H;38;3;1;0;4;1;1;1;1;CM;Espagne
H;38;4;1;1;3;8;1;1;1;NA;Espagne
H;43;3;1;0;8;7;0;1;1;AND;Autre pays
H;53;4;1;0;18;50;1;1;0;FRA;France
H;43;3;1;1;8;15;1;1;1;PV;Espagne
M;43;3;1;1;8;15;1;1;1;PV;Espagne
H;38;3;1;0;2;1;0;1;0;AR;Espagne
H;48;3;1;1;12;1;1;1;1;PV;Espagne
H;48;3;1;1;12;8;1;1;1;PV;Espagne
H;48;4;1;1;12;6;1;1;0;LR;Espagne
H;38;3;1;0;2;3;0;1;1;DEU;Autre pays
H;43;3;1;1;7;2;1;1;1;VC;Espagne
H;53;3;1;1;17;10;0;1;1;NSNC;Autre pays
M;48;3;1;1;12;10;1;1;0;M;Espagne
H;38;4;1;0;1;2;0;1;1;AR;Espagne
H;43;4;1;1;6;1;0;1;1;AR;Espagne
M;38;3;1;1;1;15;0;1;1;AR;Espagne
M;38;3;1;0;1;5;1;1;1;CT;Espagne
H;38;3;1;0;0;2;1;1;1;PV;Espagne
H;48;3;0;0;10;2;0;1;0;M;Espagne
H;43;3;1;0;5;6;0;1;0;CT;Espagne
H;38;3;1;1;0;3;1;1;1;CT;Espagne
H;38;3;1;0;0;8;0;0;0;AR;Espagne
H;58;4;1;0;20;40;0;1;1;CT;Espagne
H;38;3;1;0;NC;NC;1;1;1;CT;Espagne
H;48;4;1;1;10;4;1;1;1;M;Espagne
H;48;3;1;1;10;15;1;1;0;LR;Espagne
H;53;3;1;0;15;5;NC;0;0;M;Espagne
M;38;4;1;1;0;1;1;1;1;VC;Espagne
M;43;4;1;1;5;5;1;1;1;FRA;France
H;43;3;1;0;5;5;1;0;1;FRA;France
H;38;3;1;0;0;2;1;1;0;PRT;Autre pays
M;53;4;1;0;15;112;0;1;0;AR;Espagne
H;43;3;1;1;5;5;1;1;1;CB;Espagne
H;48;3;1;0;10;9;1;1;1;AS;Espagne
H;53;3;1;1;15;1;1;1;1;AS;Espagne
M;38;3;1;0;0;3;0;1;1;AND;Autre pays
H;43;3;1;1;5;15;1;1;0;AR;Espagne
H;43;3;1;1;5;15;1;1;0;AR;Espagne
H;48;3;1;1;10;15;1;1;1;FRA;France
H;48;3;1;1;10;10;1;1;1;FRA;France
H;48;4;1;1;10;75;1;1;1;FRA;France
H;38;4;1;1;0;1;1;0;1;CT;Espagne
M;58;3;1;0;20;4;1;1;1;FRA;France
M;38;3;1;0;0;1;1;1;0;CT;Espagne
H;53;4;1;1;15;5;1;1;1;PV;Espagne
H;43;3;1;0;5;3;0;1;1;DEU;Autre pays
H;48;3;1;1;10;50;0;1;0;AR;Espagne
H;43;3;1;1;4;12;1;0;1;CB;Espagne
H;43;4;1;0;3;6;0;0;0;PV;Espagne
H;43;4;1;0;3;3;0;1;1;PV;Espagne
H;53;3;1;0;12;2;1;1;1;CM;Espagne
H;53;3;1;1;12;8;1;1;1;PV;Espagne
H;53;3;1;1;12;8;1;1;1;PV;Espagne
M;48;4;1;1;7;15;1;1;1;FRA;France
H;53;3;1;1;12;1;1;1;0;LR;Espagne
H;43;3;1;0;2;4;1;1;1;FRA;France
H;43;3;1;0;1;2;1;1;1;AR;Espagne
H;48;4;1;1;6;6;1;1;0;LR;Espagne
H;43;3;1;0;1;4;0;1;1;DEU;Autre pays
H;48;3;1;0;6;3;0;1;1;AND;Autre pays
H;48;4;1;0;6;8;1;0;1;CT;Espagne
M;43;3;1;1;1;3;0;1;1;FRA;France
H;48;4;1;0;5;10;1;0;1;FRA;France
M;48;3;1;0;5;10;1;0;1;FRA;France
H;48;4;1;1;5;10;1;1;1;CT;Espagne
H;48;4;1;1;5;5;1;0;1;CL;Espagne
M;48;4;1;1;5;5;1;0;1;CL;Espagne
H;48;3;1;1;5;45;1;1;1;AND;Autre pays
H;43;3;1;0;0;1;1;1;1;AND;Autre pays
H;58;3;1;1;15;3;1;1;1;FRA;France
H;53;2;1;1;10;4;1;1;0;LR;Espagne
H;43;3;1;0;0;1;0;1;1;CT;Espagne
H;58;4;1;1;15;129;1;1;1;FRA;France
M;48;3;1;1;5;5;1;1;1;CB;Espagne
H;58;3;1;0;15;6;1;1;1;FRA;France
H;58;3;1;0;15;4;1;1;1;FRA;France
M;58;3;1;0;15;4;1;1;1;FRA;France
H;48;3;1;1;5;6;1;1;1;CM;Espagne
H;48;3;1;0;5;3;0;1;1;DEU;Autre pays
H;58;3;1;1;15;10;1;1;0;M;Espagne
H;58;3;1;NC;15;4;1;1;1;CT;Espagne
H;43;3;1;NC;NC;100;1;1;1;CT;Espagne
H;48;3;1;1;4;5;1;1;1;AS;Espagne
H;53;3;1;0;8;5;0;0;1;CT;Espagne
H;53;4;1;1;8;25;0;1;1;AR;Espagne
H;48;4;1;1;3;20;1;1;1;AR;Espagne
H;53;4;1;0;6;4;1;1;0;VC;Espagne
H;48;3;1;0;1;1;1;1;0;CT;Espagne
H;53;3;1;0;6;5;1;0;1;FRA;France
H;53;4;1;0;5;1;1;1;1;M;Espagne
M;63;3;1;1;15;8;1;1;1;FRA;France
H;48;3;1;0;NC;NC;1;1;1;CT;Espagne
H;48;3;1;0;NC;NC;0;1;1;DEU;Autre pays
H;58;3;1;0;10;3;1;1;0;FRA;France
M;58;3;1;0;10;3;1;1;0;FRA;France
H;63;3;1;0;15;1;1;1;1;FRA;France
H;73;3;1;0;25;5;1;1;1;FRA;France
M;48;3;1;NC;NC;4;1;1;1;CT;Espagne
H;48;3;1;NC;NC;4;1;1;1;CT;Espagne
M;53;3;0;0;5;3;1;1;1;CT;Espagne
M;53;3;0;0;5;3;1;1;1;CT;Espagne
H;58;3;1;0;10;40;0;1;0;AR;Espagne
H;58;3;1;1;9;2;1;1;1;AS;Espagne
H;53;3;1;1;4;1;1;1;0;M;Espagne
H;53;3;1;0;3;NC;0;1;1;DEU;Autre pays
H;53;3;1;0;2;2;1;1;1;AS;Espagne
M;58;3;1;1;5;2;1;1;1;FRA;France
H;53;3;1;0;NC;NC;0;1;0;AR;Espagne
M;53;3;1;NC;NC;NC;0;1;1;DEU;Autre pays
M;58;4;1;1;5;4;1;1;1;FRA;France
M;53;3;1;NC;NC;2;1;1;1;CT;Espagne
H;58;3;0;0;5;2;1;1;1;CT;Espagne
H;68;3;1;1;10;5;1;1;1;FRA;France
H;58;3;1;0;0;1;0;1;1;CT;Espagne
H;63;4;1;1;4;5;1;1;1;FRA;France
H;63;NC;NC;NC;0;0;1;1;1;CT;Espagne
