rang annuel;titre;nationalité;sortie;mois;entrées (millions);annee;Type;nouvelle nationalité;Intervalle d'entrées;Nationalité simplifiée;Saison de sortie
8;PLANETE DES SINGES : LES ORIGINES (LA);ETATS UNIS;10/08/2011;8;3,26;2011;Science-fiction;US;"[1;5[";US;Été
9;DISCOURS D'UN ROI (LE);GRANDE BRETAGNE;02/02/2011;2;3,03;2011;Drame;GB;"[1;5[";GB;Hiver
10;CARS 2;ETATS UNIS;27/07/2011;7;2,91;2011;Animation;US;"[1;5[";US;Été
11;SCHTROUMPFS (LES);ETATS UNIS;03/08/2011;8;2,81;2011;Animation;US;"[1;5[";US;Été
12;KUNG FU PANDA 2;ETATS UNIS;15/06/2011;6;2,70;2011;Animation;US;"[1;5[";US;Printemps
13;BLACK SWAN;ETATS UNIS;09/02/2011;2;2,65;2011;Policier/Thriller;US;"[1;5[";US;Hiver
14;TRANSFORMERS 3 : LA FACE CACHEE DE LA LUNE;ETATS UNIS;29/06/2011;6;2,62;2011;Science-fiction;US;"[1;5[";US;Printemps
15;FAST & FURIOUS 5;ETATS UNIS;04/05/2011;5;2,52;2011;Action;US;"[1;5[";US;Printemps
16;VERY BAD TRIP 2;ETATS UNIS;25/05/2011;5;2,51;2011;Comédie;US;"[1;5[";US;Printemps
17;RIO;ETATS UNIS;13/04/2011;4;2,44;2011;Animation;US;"[1;5[";US;Printemps
18;POLISSE;FRANCE;19/10/2011;10;2,32;2011;Policier/Thriller;FR;"[1;5[";FR;Automne
19;FEMMES DU 6EME ETAGE (LES);FRANCE;16/02/2011;2;2,28;2011;Comédie;FR;"[1;5[";FR;Hiver
20;X-MEN : LE COMMENCEMENT;ETATS UNIS;01/06/2011;6;2,10;2011;Super-héros;US;"[1;5[";US;Printemps
21;AU-DELA;ETATS UNIS;19/01/2011;1;1,93;2011;Drame;US;"[1;5[";US;Hiver
22;HOLLYWOO;FRANCE;07/12/2011;12;1,88;2011;Comédie;FR;"[1;5[";FR;Automne
23;CASE DEPART;FRANCE;06/07/2011;7;1,77;2011;Policier/Thriller;FR;"[1;5[";FR;Été
24;MISSION : IMPOSSIBLE PROTOCOLE FANTOME;ETATS UNIS;14/12/2011;12;1,75;2011;Action;US;"[1;5[";US;Automne
25;UN MONSTRE A PARIS;FRANCE;12/10/2011;10;1,74;2011;Animation;FR;"[1;5[";FR;Automne
26;MINUIT A PARIS;ESPAGNE;11/05/2011;5;1,73;2011;Comédie;ESP;"[1;5[";Autre;Printemps
27;THOR;ETATS UNIS;27/04/2011;4;1,73;2011;Super-héros;US;"[1;5[";US;Printemps
28;THE ARTIST;FRANCE;12/10/2011;10;1,58;2011;Film musical /Comédie musicale;FR;"[1;5[";FR;Automne
29;NOUVELLE GUERRE DES BOUTONS (LA);FRANCE;21/09/2011;9;1,54;2011;Comédie;FR;"[1;5[";FR;Été
30;DRIVE;ETATS UNIS;05/10/2011;10;1,54;2011;Policier/Thriller;US;"[1;5[";US;Automne
31;TUCHE (LES);FRANCE;01/07/2011;7;1,53;2011;Comédie;FR;"[1;5[";FR;Été
32;SUPER 8;ETATS UNIS;03/08/2011;8;1,53;2011;Science-fiction;US;"[1;5[";US;Été
33;ELEVE DUCOBU (L');FRANCE;22/06/2011;6;1,49;2011;Comédie;FR;"[1;5[";FR;Printemps
34;GUERRE DES BOUTONS (LA);FRANCE;14/09/2011;9;1,48;2011;Comédie;FR;"[1;5[";FR;Été
35;BIENVENUE A BORD;FRANCE;05/10/2011;10;1,43;2011;Comédie;FR;"[1;5[";FR;Automne
36;TRUE GRIT;ETATS UNIS;23/02/2011;2;1,41;2011;Western;US;"[1;5[";US;Hiver
37;FILLE DU PUISATIER (LA);FRANCE;20/04/2011;4;1,40;2011;Comédie dramatique;FR;"[1;5[";FR;Printemps
38;ALVIN ET LES CHIPMUNKS 3;ETATS UNIS;21/12/2011;12;1,37;2011;Comédie;US;"[1;5[";US;Automne
39;LARGO WINCH 2;FRANCE / BELGIQUE / ALLEMAGNE;16/02/2011;2;1,34;2011;Action;FR;"[1;5[";FR;Hiver
40;TITEUF, LE FILM;FRANCE / SUISSE;06/04/2011;4;1,27;2011;Animation;FR;"[1;5[";FR;Printemps
41;RANGO;ETATS UNIS;23/03/2011;3;1,27;2011;Animation;US;"[1;5[";US;Hiver
42;FILS A JO (LE);FRANCE;12/01/2011;1;1,20;2011;Comédie;FR;"[1;5[";FR;Hiver
43;TRON L'HERITAGE;ETATS UNIS;09/02/2011;2;1,19;2011;Science-fiction;US;"[1;5[";US;Hiver
44;LYONNAIS (LES);FRANCE;30/11/2011;11;1,09;2011;Policier/Thriller;FR;"[1;5[";FR;Automne
45;REAL STEEL;ETATS UNIS;19/10/2011;10;1,08;2011;Science-fiction;US;"[1;5[";US;Automne
46;CAPTAIN AMERICA - FIRST AVENGER;ETATS UNIS;17/08/2011;8;1,07;2011;Super-héros;US;"[1;5[";US;Été
47;SCREAM 4;ETATS UNIS;13/04/2011;4;1,07;2011;Horreur;US;"[1;5[";US;Printemps
48;TIME OUT;ETATS UNIS;23/11/2011;11;1,05;2011;Science-fiction;US;"[1;5[";US;Automne
49;CHANCE DE MA VIE (LA);FRANCE / BELGIQUE;05/01/2011;1;1,04;2011;Comédie romantique;FR;"[1;5[";FR;Hiver
50;ANIMAUX & CIE;Allemagne;09/02/2011;2;1,03;2011;Animation;DEU;"[1;5[";Autre;Hiver
51;MA PART DU GATEAU;FRANCE;16/03/2011;3;1,03;2011;Comédie dramatique;FR;"[1;5[";FR;Hiver
52;SANS IDENTITE;ALLEMAGNE / GRANDE BRETAGNE / FRANCE;02/03/2011;3;1,00;2011;Policier/Thriller;DEU;"[1;5[";Autre;Hiver
53;DERNIER DES TEMPLIERS (LE);ETATS UNIS;12/01/2011;1;1,00;2011;Fantastique;US;"[1;5[";US;Hiver
1;SKYFALL;GRANDE BRETAGNE;26/10/2012;10;6,81;2012;Espionnage;GB;"[5;10[";GB;Automne
2;AGE DE GLACE 4 : LA DERIVE DES CONTINENTS (LA);ETATS UNIS;27/06/2012;6;6,64;2012;Animation;US;"[5;10[";US;Printemps
3;SUR LA PISTE DU MARSUPILAMI;FRANCE;04/04/2012;4;5,30;2012;Comédie;FR;"[5;10[";FR;Printemps
4;TWILIGHT - CHAPITRE 5 : REVELATION (2E PARTIE);ETATS UNIS;14/11/2012;11;4,43;2012;Fantastique;US;"[1;5[";US;Automne
5;AVENGERS;ETATS UNIS;25/04/2012;4;4,41;2012;Super-héros;US;"[1;5[";US;Printemps
6;THE DARK KNIGHT RISES;GRANDE BRETAGNE;25/07/2012;7;4,41;2012;Super-héros;GB;"[1;5[";GB;Été
7;VERITE SI JE MENS 3 (LA);FRANCE;01/02/2012;2;4,11;2012;Comédie;FR;"[1;5[";FR;Hiver
8;ASTÉRIX ET OBÉLIX : AU SERVICE DE SA MAJESTE;FRANCE  / HONGRIE / ESPAGNE / ITALIE;17/10/2012;10;3,79;2012;Comédie;FR;"[1;5[";FR;Automne
9;MADAGASCAR 3 : BONS BAISERS D'EUROPE;ETATS UNIS;06/06/2012;6;3,41;2012;Animation;US;"[1;5[";US;Printemps
10;HOBBIT : UN VOYAGE INATTENDU (LE);NOUVELLE ZELANDE;12/12/2012;12;3,35;2012;Fantasy;NZ;"[1;5[";Autre;Automne
11;PRÉNOM (LE);FRANCE;25/04/2012;4;3,34;2012;Comédie;FR;"[1;5[";FR;Printemps
12;REBELLE;ETATS UNIS;01/08/2012;8;3,16;2012;Animation;US;"[1;5[";US;Été
13;TAKEN 2;FRANCE;03/10/2012;10;2,91;2012;Policier/Thriller;FR;"[1;5[";FR;Automne
14;INTOUCHABLES;FRANCE;02/11/2011;11;2,83;2012;Comédie dramatique;FR;"[1;5[";FR;Automne
15;SEIGNEURS (LES);FRANCE;26/09/2012;9;2,73;2012;Comédie;FR;"[1;5[";FR;Été
16;THE AMAZING SPIDER-MAN;ETATS UNIS;04/07/2012;7;2,54;2012;Super-héros;US;"[1;5[";US;Été
17;SHERLOCK HOLMES : JEU D'OMBRES;GRANDE BRETAGNE;25/01/2012;1;2,39;2012;Aventure;GB;"[1;5[";GB;Hiver
18;CINQ LEGENDES (LES);ETATS UNIS;28/11/2012;11;2,28;2012;Animation;US;"[1;5[";US;Automne
19;INFIDÈLES (LES);FRANCE;29/02/2012;2;2,26;2012;Comédie;FR;"[1;5[";FR;Hiver
20;MEN IN BLACK 3;ETATS UNIS;23/05/2012;5;2,12;2012;Science-fiction;US;"[1;5[";US;Printemps
21;BLANCHE-NEIGE ET LE CHASSEUR;ETATS UNIS;13/06/2012;6;1,98;2012;Fantastique;US;"[1;5[";US;Printemps
22;EXPENDABLES 2 : UNITE SPECIALE;ETATS UNIS;22/08/2012;8;1,96;2012;Fantastique;US;"[1;5[";US;Été
23;DARK SHADOWS;GRANDE BRETAGNE;09/05/2012;5;1,95;2012;Fantastique;GB;"[1;5[";GB;Printemps
24;DE ROUILLE ET D'OS;FRANCE  / BELGIQUE;17/05/2012;5;1,91;2012;Drame;FR;"[1;5[";FR;Printemps
25;PROJET X;ETATS UNIS;14/03/2012;3;1,85;2012;Comédie;US;"[1;5[";US;Hiver
26;PROMETHEUS;ETATS UNIS;30/05/2012;5;1,84;2012;Science-fiction;US;"[1;5[";US;Printemps
27;STARS 80;FRANCE;24/10/2012;10;1,83;2012;Comédie;FR;"[1;5[";FR;Automne
28;UN BONHEUR N'ARRIVE JAMAIS SEUL;FRANCE;27/06/2012;6;1,83;2012;Comédie;FR;"[1;5[";FR;Printemps
29;CLOCLO;FRANCE  / BELGIQUE;14/03/2012;3;1,76;2012;Biopic/Biographie;FR;"[1;5[";FR;Hiver
30;HUNGER GAMES;ETATS UNIS;21/03/2012;3;1,73;2012;Science-fiction;US;"[1;5[";US;Hiver
31;THE ARTIST;FRANCE;12/10/2011;10;1,58;2012;Film musical /Comédie musicale;FR;"[1;5[";FR;Automne
32;AMERICAN PIE 4;ETATS UNIS;02/05/2012;5;1,52;2012;Comédie;US;"[1;5[";US;Printemps
33;J. EDGAR;ETATS UNIS;11/01/2012;1;1,45;2012;Biopic/Biographie;US;"[1;5[";US;Hiver
34;MINCE ALORS !;FRANCE;28/03/2012;3;1,45;2012;Comédie;FR;"[1;5[";FR;Hiver
35;ZARAFA;FRANCE;08/02/2012;2;1,44;2012;Animation;FR;"[1;5[";FR;Hiver
36;CLOCHETTE ET LE SECRET DES FEES;ETATS UNIS;10/10/2012;10;1,44;2012;Animation;US;"[1;5[";US;Automne
37;TED;ETATS UNIS;10/10/2012;10;1,38;2012;Animation;US;"[1;5[";US;Automne
38;VOYAGE AU CENTRE DE LA TERRE 2 : L'ILE MYSTERIEUSE;ETATS UNIS;15/02/2012;2;1,32;2012;Aventure;US;"[1;5[";US;Hiver
39;TOTAL RECALL : MEMOIRES PROGRAMMEES;ETATS UNIS;15/08/2012;8;1,28;2012;Science-fiction;US;"[1;5[";US;Été
40;UN PLAN PARFAIT;FRANCE  / BELGIQUE;31/10/2012;10;1,22;2012;Comédie;FR;"[1;5[";FR;Automne
41;MONDES DE RALPH (LES);ETATS UNIS;05/12/2012;12;1,20;2012;Animation;US;"[1;5[";US;Automne
42;DANS LA MAISON;FRANCE;10/10/2012;10;1,18;2012;Comédie dramatique;FR;"[1;5[";FR;Automne
43;DE L'AUTRE COTE DU PERIPH;FRANCE;19/12/2012;12;1,18;2012;Comédie;FR;"[1;5[";FR;Automne
44;ARGO;ETATS UNIS;07/11/2012;11;1,15;2012;Film historique / Guerre;US;"[1;5[";US;Automne
45;TITANIC;ETATS UNIS;07/01/1998;1;1,14;2012;Film historique / Guerre;US;"[1;5[";US;Hiver
46;SEXY DANCE 4 : MIAMI HEAT;ETATS UNIS;08/08/2012;8;1,13;2012;Film musical /Comédie musicale;US;"[1;5[";US;Été
47;MILLENIUM : LES HOMMES QUI N'AIMAIENT PAS LES FEMMES;ETATS UNIS;18/01/2012;1;1,08;2012;Policier/Thriller;US;"[1;5[";US;Hiver
48;ALVIN ET LES CHIPMUNKS 3;ETATS UNIS;21/12/2011;12;1,07;2012;Comédie;US;"[1;5[";US;Automne
49;BATTLESHIP;ETATS UNIS;11/04/2012;4;1,06;2012;Science-fiction;US;"[1;5[";US;Printemps
50;VACANCES DE DUCOBU (LES);FRANCE;25/04/2012;4;1,06;2012;Comédie;FR;"[1;5[";FR;Printemps
51;KAIRA (LES);FRANCE;11/07/2012;7;1,02;2012;Comédie;FR;"[1;5[";FR;Été
52;CHRONICLE;ETATS UNIS;22/02/2012;2;1,02;2012;Science-fiction;US;"[1;5[";US;Hiver
53;POPULAIRE;FRANCE  / BELGIQUE;28/11/2012;11;1,01;2012;Comédie;FR;"[1;5[";FR;Automne
1;MOI, MOCHE ET MECHANT 2;ETATS UNIS;26/06/2013;6;4,65;2013;Animation;US;"[1;5[";US;Printemps
2;IRON MAN 3;ETATS UNIS;24/04/2013;4;4,31;2013;Super-héros;US;"[1;5[";US;Printemps
3;DJANGO UNCHAINED;ETATS UNIS;16/01/2013;1;4,31;2013;Western;US;"[1;5[";US;Hiver
4;GRAVITY;GRANDE BRETAGNE;23/10/2013;10;4,08;2013;Aventure;GB;"[1;5[";GB;Automne
5;PROFS (LES);FRANCE;17/04/2013;4;3,95;2013;Comédie;FR;"[1;5[";FR;Printemps
6;HOBBIT : LA DESOLATION DE SMAUG (LE);ETATS UNIS;11/12/2013;12;3,80;2013;Fantasy;US;"[1;5[";US;Automne
7;REINE DES NEIGES (LA);ETATS UNIS;04/12/2013;12;3,80;2013;Animation;US;"[1;5[";US;Automne
8;INSAISISSABLES;ETATS UNIS;31/07/2013;7;3,01;2013;Policier/Thriller;US;"[1;5[";US;Été
9;FAST & FURIOUS 6;ETATS UNIS;22/05/2013;5;2,99;2013;Action;US;"[1;5[";US;Printemps
10;HUNGER GAMES : L'EMBRASEMENT;ETATS UNIS;27/11/2013;11;2,92;2013;Science-fiction;US;"[1;5[";US;Automne
11;TURBO;ETATS UNIS;16/10/2013;10;2,47;2013;Animation;US;"[1;5[";US;Automne
12;WORLD WAR Z;ETATS UNIS;03/07/2013;7;2,46;2013;Science-fiction;US;"[1;5[";US;Été
13;CROODS (LES);ETATS UNIS;10/04/2013;4;2,38;2013;Animation;US;"[1;5[";US;Printemps
14;MAN OF STEEL;CANADA;19/06/2013;6;2,32;2013;Super-héros;CA;"[1;5[";Autre;Printemps
15;THOR : LE MONDE DES TENEBRES;ETATS UNIS;30/10/2013;10;2,29;2013;Super-héros;US;"[1;5[";US;Automne
16;SCHTROUMPFS 2 (LES);ETATS UNIS;31/07/2013;7;2,25;2013;Animation;US;"[1;5[";US;Été
17;GARÇONS ET GUILLAUME, A TABLE ! (LES);FRANCE;20/11/2013;11;2,20;2013;Comédie;FR;"[1;5[";FR;Automne
18;MONSTRES ACADEMY;ETATS UNIS;10/07/2013;7;2,08;2013;Animation;US;"[1;5[";US;Été
19;BOULE ET BILL;FRANCE / BELGIQUE / LUXEMBOURG;27/02/2013;2;2,01;2013;Comédie;FR;"[1;5[";FR;Hiver
20;WOLVERINE : LE COMBAT DE L'IMMORTEL;ETATS UNIS;24/07/2013;7;1,99;2013;Super-héros;US;"[1;5[";US;Été
21;9 MOIS FERME;FRANCE;16/10/2013;10;1,99;2013;Comédie;FR;"[1;5[";FR;Automne
22;MAJORDOME (LE);ETATS UNIS;11/09/2013;9;1,95;2013;Film historique / Guerre;US;"[1;5[";US;Été
23;VERY BAD TRIP 3;ETATS UNIS;29/05/2013;5;1,93;2013;Comédie;US;"[1;5[";US;Printemps
24;DIE HARD : BELLE JOURNEE POUR MOURIR;ETATS UNIS;20/02/2013;2;1,83;2013;Action;US;"[1;5[";US;Hiver
25;JAPPELOUP;FRANCE  / CANADA;13/03/2013;3;1,82;2013;Drame;FR;"[1;5[";FR;Hiver
26;EYJAFJALLOJOKULL;FRANCE;02/10/2013;10;1,77;2013;Comédie;FR;"[1;5[";FR;Automne
27;HOTEL TRANSYLVANIE;ETATS UNIS;13/02/2013;2;1,70;2013;Animation;US;"[1;5[";US;Hiver
28;BELLE ET SEBASTIEN;FRANCE;18/12/2013;12;1,68;2013;Aventure;FR;"[1;5[";FR;Automne
29;GAMINS (LES);FRANCE;17/04/2013;4;1,65;2013;Comédie;FR;"[1;5[";FR;Printemps
30;PLANES;ETATS UNIS;09/10/2013;10;1,63;2013;Animation;US;"[1;5[";US;Automne
31;GATSBY LE MAGNIFIQUE;AUSTRALIE;15/05/2013;5;1,58;2013;Drame;AUS;"[1;5[";Autre;Printemps
32;MONDE FANTASTIQUE D'OZ (LE);ETATS UNIS;13/03/2013;3;1,56;2013;Fantasy;US;"[1;5[";US;Hiver
33;ELYSIUM;ETATS UNIS;14/08/2013;8;1,52;2013;Science-fiction;US;"[1;5[";US;Été
34;PERCY JACKSON : LA MER DES MONSTRES;ETATS UNIS;14/08/2013;8;1,47;2013;Fantasy;US;"[1;5[";US;Été
35;BLUE JASMINE;ETATS UNIS;25/09/2013;9;1,43;2013;Comédie dramatique;US;"[1;5[";US;Été
36;20 ANS D'ECART;FRANCE;06/03/2013;3;1,40;2013;Comédie romantique;FR;"[1;5[";FR;Hiver
37;LINCOLN;ETATS UNIS;30/01/2013;1;1,36;2013;Film historique / Guerre;US;"[1;5[";US;Hiver
38;OBLIVION;ETATS UNIS;10/04/2013;4;1,33;2013;Science-fiction;US;"[1;5[";US;Printemps
39;AFTER EARTH;ETATS UNIS;05/06/2013;6;1,28;2013;Science-fiction;US;"[1;5[";US;Printemps
40;CASSE-TETE CHINOIS ;FRANCE / BELGIQUE;04/12/2013;12;1,27;2013;Comédie;FR;"[1;5[";FR;Automne
41;CAGE DOREE (LA);FRANCE;24/04/2013;4;1,23;2013;Comédie;FR;"[1;5[";FR;Printemps
42;EPIC : LA BATAILLE DU ROYAUME SECRET;ETATS UNIS;22/05/2013;5;1,21;2013;Animation;US;"[1;5[";US;Printemps
43;HOBBIT : UN VOYAGE INATTENDU (LE);NOUVELLE ZELANDE;12/12/2012;12;1,18;2013;Fantasy;NZ;"[1;5[";Autre;Automne
44;SUR LE CHEMIN DE L'ECOLE;FRANCE;25/09/2013;9;1,17;2013;Documentaire;FR;"[1;5[";FR;Été
45;ALCESTE A BICYCLETTE;FRANCE;16/01/2013;1;1,17;2013;Comédie;FR;"[1;5[";FR;Hiver
46;CONJURING, LES DOSSIERS WARREN;ETATS UNIS;21/08/2013;8;1,16;2013;Horreur;US;"[1;5[";US;Été
47;LONE RANGER, NAISSANCE D'UN HEROS;ETATS UNIS;07/08/2013;8;1,15;2013;Western;US;"[1;5[";US;Été
48;PRISONERS;ETATS UNIS;09/10/2013;10;1,13;2013;Policier/Thriller;US;"[1;5[";US;Automne
49;VIVE LA FRANCE;FRANCE;20/02/2013;2;1,11;2013;Comédie;FR;"[1;5[";FR;Hiver
50;MOBIUS;FRANCE / LUXEMBOURG / BELGIQUE;27/02/2013;2;1,10;2013;Espionnage;FR;"[1;5[";FR;Hiver
51;DE L'AUTRE COTE DU PERIPH;FRANCE;19/12/2012;12;1,08;2013;Comédie;FR;"[1;5[";FR;Automne
52;HAPPINESS THERAPY;ETATS UNIS;30/01/2013;1;1,07;2013;Comédie dramatique;US;"[1;5[";US;Hiver
53;PAULETTE;FRANCE;16/01/2013;1;1,03;2013;Comédie;FR;"[1;5[";FR;Hiver
54;PACIFIC RIM;ETATS UNIS;17/07/2013;7;1,02;2013;Science-fiction;US;"[1;5[";US;Été
55;LOUP DE WALL STREET (LE);ETATS UNIS;25/12/2013;12;1,02;2013;Biopic/Biographie;US;"[1;5[";US;Automne
1;QU'EST-CE QU'ON A FAIT AU BON DIEU ?;FRANCE;16/04/2014;4;12,34;2014;Comédie;FR;"[10;15[";FR;Printemps
2;SUPERCONDRIAQUE;FRANCE;26/02/2014;2;5,27;2014;Comédie;FR;"[5;10[";FR;Hiver
3;LUCY;FRANCE;06/08/2014;8;5,20;2014;Science-fiction;FR;"[5;10[";FR;Été
4;LE HOBBIT : LA BATAILLE DES CINQ ARMÉES ;NOUVELLE ZELANDE;10/12/2014;12;4,07;2014;Fantasy;NZ;"[1;5[";Autre;Automne
5;LA PLANETE DES SINGES : L'AFFRONTEMENT ;ETATS-UNIS;30/07/2014;7;3,78;2014;Science-fiction;US;"[1;5[";US;Été
6;DRAGONS 2;ETATS-UNIS;02/07/2014;7;3,38;2014;Animation;US;"[1;5[";US;Été
7;X-MEN : DAY OF FUTURE PAST;ETATS-UNIS;21/05/2014;5;3,28;2014;Super-héros;US;"[1;5[";US;Printemps
8;RIO 2;ETATS-UNIS;09/04/2014;4;3,26;2014;Animation;US;"[1;5[";US;Printemps
9;SAMBA;FRANCE;15/10/2014;10;3,15;2014;Comédie;FR;"[1;5[";FR;Automne
10;LE LABYRINTHE ;ETATS-UNIS;15/10/2014;10;3,13;2014;Science-fiction;US;"[1;5[";US;Automne
11;HUNGER GAMES - LA RÉVOLTE PARTIE 1;ETATS-UNIS;19/11/2014;11;3,12;2014;Science-fiction;US;"[1;5[";US;Automne
12;ASTÉRIX ET LE DOMAINE DES DIEUX;FRANCE;26/11/2014;11;2,68;2014;Animation;FR;"[1;5[";FR;Automne
13;INTERSTELLAR;ETATS-UNIS;05/11/2014;11;2,58;2014;Science-fiction;US;"[1;5[";US;Automne
14;LES VACANCES DU PETIT NICOLAS ;FRANCE;09/07/2014;7;2,41;2014;Comédie;FR;"[1;5[";FR;Été
15;BABYSITTING;FRANCE;16/04/2014;4;2,36;2014;Comédie;FR;"[1;5[";FR;Printemps
16;LA FAMILLE BÉLIER ;FRANCE;17/12/2014;12;2,35;2014;Comédie dramatique;FR;"[1;5[";FR;Automne
17;LES GARDIENS DE LA GALAXIE ;ETATS-UNIS;13/08/2014;8;2,34;2014;Super-héros;US;"[1;5[";US;Été
18;TRANSFORMERS : L'ÂGE DE L'EXTINCTION;ETATS-UNIS;16/07/2014;7;2,34;2014;Science-fiction;US;"[1;5[";US;Été
19;THE AMAZING SPIDER-MAN : LE DESTIN D'UN HÉROS;ETATS-UNIS;30/04/2014;4;2,31;2014;Super-héros;US;"[1;5[";US;Printemps
20;LES TROIS FRÈRES, LE RETOUR ;FRANCE;12/02/2014;2;2,24;2014;Comédie;FR;"[1;5[";FR;Hiver
21;PADDINGTON;FRANCE;03/12/2014;12;2,20;2014;Animation;FR;"[1;5[";FR;Automne
22;LE LOUP DE WALL STREET ;ETATS-UNIS;25/12/2013;12;2,00;2014;Biopic/Biographie;US;"[1;5[";US;Automne
23;MALÉFIQUE;ETATS-UNIS;28/05/2014;5;2,00;2014;Fantastique;US;"[1;5[";US;Printemps
24;FISTON;FRANCE;12/03/2014;3;1,93;2014;Comédie;FR;"[1;5[";FR;Hiver
25;GONE GIRL;ETATS-UNIS;08/10/2014;10;1,91;2014;Policier/Thriller;US;"[1;5[";US;Automne
26;CAPTAIN AMERICA : LE SOLDAT DE L'HIVER;ETATS-UNIS;26/03/2014;3;1,88;2014;Super-héros;US;"[1;5[";US;Hiver
